Date,0
2015-10-31,998000.0
2015-11-30,1268032.058345466
2015-12-31,1555681.3465710513
2016-01-31,1879377.9248165314
2016-02-29,2185674.7171045956
2016-03-31,2609733.5475764642
2016-04-30,2896925.970753001
2016-05-31,3234345.8086834704
2016-06-30,3573212.8262004824
2016-07-31,4016518.590100664
2016-08-31,4313955.066555018
2016-09-30,4652825.921680995
2016-10-31,4848421.2027284205
2016-11-30,4923700.989435431
2016-12-31,5204547.23681375
2017-01-31,5669960.366180974
2017-02-28,6140040.271597314
2017-03-31,6492378.660534421
2017-04-30,6898410.623142985
2017-05-31,7277644.517215805
2017-06-30,7521517.969032829
2017-07-31,8009069.3326148065
2017-08-31,8425412.459451674
2017-09-30,8733420.639201641
2017-10-31,9089653.456320502
2017-11-30,9432895.31733352
2017-12-31,9812521.941532586
2018-01-31,10563782.58435954
2018-02-28,10605166.045139803
2018-03-31,10856143.51386064
2018-04-30,11117140.02007386
2018-05-31,11532031.982384063
2018-06-30,11718862.96887497
2018-07-31,12045049.21106227
2018-08-31,12466888.428853491
2018-09-30,12662887.350040602
2018-10-31,12677645.542946067
2018-11-30,13045437.846674057
2018-12-31,13164967.56939435
2019-01-31,14272527.73323615
2019-02-28,14817428.270382797
2019-03-31,15474641.753774418
2019-04-30,16230661.27709895
2019-05-31,16488708.221258186
2019-06-30,17703636.87686545
2019-07-31,18076921.45249159
2019-08-31,19066047.86623519
2019-09-30,19440546.731038556
2019-10-31,20213359.016640827
2019-11-30,20926494.734558165
2019-12-31,21759380.6989594
2020-01-31,22395571.091190036
2020-02-29,21802320.65441812
2020-03-31,22029526.70337018
2020-04-30,23663776.68265606
2020-05-31,24572260.13138242
2020-06-30,25540586.011795472
2020-07-31,27226051.52947282
2020-08-31,28982564.54293513
2020-09-30,28387560.245544326
2020-10-31,28278489.97588449
2020-11-30,30581198.49846193
2020-12-31,31925176.233465157
2021-01-31,32049013.868234143
2021-02-28,32372196.87992823
2021-03-31,33113803.7290154
2021-04-30,34742179.49582409
2021-05-31,35231475.80294072
2021-06-30,36384924.35026064
2021-07-31,37368365.99669542
2021-08-31,38485402.19665568
2021-09-30,37520020.524389915
2021-10-31,39497379.636883385
2021-11-30,40030967.0074494
2021-12-31,41105388.48977053
2022-01-31,39847195.51533081
2022-02-28,40431155.53507816
2022-03-31,40516606.864228345
2022-04-30,38786283.336451925
2022-05-31,38540644.94171221
2022-06-30,37403922.30381109
2022-07-31,38826182.161705784
2022-08-31,38068703.44580672
2022-09-30,36596303.38484127
2022-10-31,37533470.49939236
2022-11-30,39862126.80795373
2022-12-31,39377131.53052151
2023-01-31,42334830.79803052
2023-02-28,41190859.041855715
2023-03-31,43662997.58073248
2023-04-30,44363791.248638034
2023-05-31,45390643.063146174
2023-06-30,46344290.1040873
2023-07-31,47690702.61557686
2023-08-31,47369311.50020751
2023-09-30,45922826.81883309
2023-10-31,47168733.04287507
2023-11-30,49954267.67587655
2023-12-31,52370794.714569524
2024-01-31,53039947.18716111
2024-02-29,53500624.854386225
2024-03-31,55940346.634860866
2024-04-30,56057959.88222263
2024-05-31,57909474.151556335
2024-06-30,59268759.72610993
2024-07-31,60958525.09650841
2024-08-31,62162927.43609355
2024-09-30,63987328.26426449
2024-10-31,63903416.99954228
2024-11-30,64715650.964790516
2024-12-31,64143566.707379445
2025-01-31,66301334.641723044
2025-02-28,67379063.82036613
2025-03-31,68501365.7206089
2025-04-30,70506386.87212281
2025-05-31,71971151.45960647
2025-06-30,75332323.95052892
2025-07-31,75596654.66103752
2025-08-31,77167812.14033096
2025-09-30,80513490.1745413
2025-10-31,81549567.00678983
