Date,0
2015-10-31,1000000.0
2015-11-30,1300000.0
2015-12-31,1600000.0
2016-01-31,1900000.0
2016-02-29,2200000.0
2016-03-31,2500000.0
2016-04-30,2800000.0
2016-05-31,3100000.0
2016-06-30,3400000.0
2016-07-31,3700000.0
2016-08-31,4000000.0
2016-09-30,4300000.0
2016-10-31,4600000.0
2016-11-30,4900000.0
2016-12-31,5200000.0
2017-01-31,5500000.0
2017-02-28,5800000.0
2017-03-31,6100000.0
2017-04-30,6400000.0
2017-05-31,6700000.0
2017-06-30,7000000.0
2017-07-31,7300000.0
2017-08-31,7600000.0
2017-09-30,7900000.0
2017-10-31,8370864.137596211
2017-11-30,8836723.567136163
2017-12-31,9289740.356859133
2018-01-31,9795521.79765507
2018-02-28,9674902.393564295
2018-03-31,9725000.502127083
2018-04-30,9966059.502940185
2018-05-31,10493283.819309734
2018-06-30,10708748.912234932
2018-07-31,11346907.494840905
2018-08-31,11956569.179949922
2018-09-30,12253728.676949028
2018-10-31,11787687.834723067
2018-11-30,12238321.87444178
2018-12-31,12401709.040481593
2019-01-31,13718398.275122443
2019-02-28,14441179.056923475
2019-03-31,15033060.335951725
2019-04-30,15654200.19256895
2019-05-31,15151726.433231467
2019-06-30,16693032.171149438
2019-07-31,17222671.131868083
2019-08-31,17719600.250725806
2019-09-30,17996023.352844294
2019-10-31,19039274.02234741
2019-11-30,19741896.056418747
2019-12-31,20773924.03021554
2020-01-31,21017901.60882406
2020-02-29,20789832.92169637
2020-03-31,19690097.380737092
2020-04-30,22303675.106700506
2020-05-31,23651635.207541138
2020-06-30,25027967.859559808
2020-07-31,27451671.305798374
2020-08-31,28763498.03773623
2020-09-30,28021177.43160962
2020-10-31,27710600.2314252
2020-11-30,29303843.208400853
2020-12-31,31116963.22717483
2021-01-31,31387253.573210258
2021-02-28,30597429.623628985
2021-03-31,30536008.236883424
2021-04-30,31806109.010793705
2021-05-31,31939611.216298092
2021-06-30,33813580.80200305
2021-07-31,34663167.206041045
2021-08-31,36324970.47750121
2021-09-30,35207516.93334291
2021-10-31,36365238.65894055
2021-11-30,36811846.35497526
2021-12-31,38277011.107753545
2022-01-31,36597339.76910439
2022-02-28,36082021.18445463
2022-03-31,35189918.42267097
2022-04-30,32268820.148059137
2022-05-31,32687653.49792861
2022-06-30,31873016.973925557
2022-07-31,33913630.031110644
2022-08-31,32738253.015709426
2022-09-30,30942275.601745456
2022-10-31,31486042.246778276
2022-11-30,33451336.098547846
2022-12-31,31827376.743976716
2023-01-31,34512209.91447285
2023-02-28,33279181.482839547
2023-03-31,35441413.5535308
2023-04-30,36264576.290987924
2023-05-31,36289168.9637291
2023-06-30,37029479.218523525
2023-07-31,38198994.64934265
2023-08-31,38007837.026305
2023-09-30,37109724.26755365
2023-10-31,38220126.03342168
2023-11-30,40522557.260012895
2023-12-31,42979009.777453564
2024-01-31,43735398.94850722
2024-02-29,45110995.56631919
2024-03-31,47066283.99408552
2024-04-30,48077533.6565897
2024-05-31,48994057.26014536
2024-06-30,49702394.4299974
2024-07-31,50586051.64595098
2024-08-31,51989769.3029597
2024-09-30,53578136.473978676
2024-10-31,52188248.82523324
2024-11-30,53445119.628988296
2024-12-31,53231358.679041035
2025-01-31,55092634.572252944
2025-02-28,55129768.493172824
2025-03-31,52837970.311142445
2025-04-30,53269113.181097
2025-05-31,55699578.67489893
2025-06-30,58453318.934131466
2025-07-31,59335256.32122569
2025-08-31,61118400.489418216
2025-09-30,63446677.374399826
2025-10-31,63392476.47374868
