Asset,risk_on,neutral,risk_off
SPY,0.35975065152268726,0.0,0.21052631578947367
IEF,0.26167213307361414,0.45129146757401595,0.0
BIL,0.0,0.0,0.2631578947368421
EEM,0.06472971941596899,0.0,0.0
GLD,0.05215021536647379,0.30666155105252507,0.36842105263157887
QQQ,0.2616972806212558,0.24204698137345892,0.15789473684210525
